num,data,2,4,6,8,10,12,14,16,18,20,22,24,qtd,soma,media
118, 27/12/05,2,4,6,8,.,12,14,.,18,.,22,24,9,110, 12.22
119, 02/01/06,.,4,6,8,10,.,.,.,18,20,22,24,8,112, 14.00
120, 09/01/06,.,.,.,8,.,12,.,16,18,20,.,24,6,98, 16.33
121, 16/01/06,2,4,.,.,10,12,.,16,18,.,.,24,7,86, 12.29
122, 23/01/06,2,4,.,8,10,.,.,.,18,20,22,.,7,84, 12.00
123, 30/01/06,.,4,6,.,.,12,.,.,18,20,22,24,7,106, 15.14
124, 06/02/06,2,4,6,.,.,.,14,16,18,20,.,24,8,104, 13.00
125, 13/02/06,2,4,6,.,10,12,.,16,.,.,22,24,8,96, 12.00
126, 20/02/06,2,4,6,8,.,.,14,16,18,.,22,24,9,114, 12.67
127, 01/03/06,2,4,.,.,10,12,.,.,18,.,22,.,6,68, 11.33
128, 06/03/06,2,4,6,.,.,.,14,16,.,20,.,.,6,62, 10.33
129, 13/03/06,2,.,6,.,.,.,.,.,18,20,22,.,5,68, 13.60
130, 20/03/06,2,4,6,.,10,12,.,.,.,.,.,24,6,58, 9.67
131, 27/03/06,2,4,6,8,.,12,.,.,.,20,22,.,7,74, 10.57
132, 03/04/06,.,4,.,.,10,.,14,16,.,.,22,.,5,66, 13.20
133, 10/04/06,.,4,.,8,.,.,.,.,18,20,22,.,5,72, 14.40
134, 17/04/06,.,.,.,8,10,12,14,16,.,.,22,.,6,82, 13.67
135, 24/04/06,2,.,.,8,10,.,14,.,18,20,22,.,7,94, 13.43
136, 02/05/06,2,.,6,.,.,12,14,.,.,.,22,24,6,80, 13.33
137, 08/05/06,2,.,6,8,10,12,.,16,18,20,.,.,8,92, 11.50
138, 15/05/06,2,4,.,8,.,.,.,16,.,.,22,24,6,76, 12.67
139, 22/05/06,2,.,.,.,.,12,14,16,18,.,22,24,7,108, 15.43
140, 29/05/06,2,.,6,.,10,12,.,.,18,20,22,24,8,114, 14.25
141, 05/06/06,.,.,.,8,10,12,.,16,18,20,.,24,7,108, 15.43
142, 12/06/06,2,4,6,.,.,.,.,16,18,.,22,24,7,92, 13.14
143, 19/06/06,2,.,.,8,.,.,.,16,.,.,22,24,5,72, 14.40
144, 26/06/06,2,4,.,.,.,12,14,.,.,20,22,24,7,98, 14.00
145, 03/07/06,2,.,.,.,10,.,14,.,18,20,22,24,7,110, 15.71
146, 10/07/06,2,.,.,8,10,12,14,16,.,.,22,24,8,108, 13.50
147, 17/07/06,2,4,6,.,10,12,.,16,.,.,22,.,7,72, 10.29
148, 24/07/06,2,4,.,8,.,12,.,16,.,20,22,24,8,108, 13.50
149, 01/08/06,2,.,.,.,10,.,.,16,18,20,.,24,6,90, 15.00
150, 07/08/06,.,.,6,8,.,.,14,.,.,.,22,24,5,74, 14.80
151, 14/08/06,.,4,.,.,10,12,14,16,18,20,.,24,8,118, 14.75
152, 21/08/06,.,4,6,8,.,.,.,.,.,20,22,24,6,84, 14.00
153, 28/08/06,2,4,.,8,.,12,.,.,18,20,.,24,7,88, 12.57
154, 04/09/06,2,.,6,.,10,.,14,16,18,.,.,24,7,90, 12.86
