num,data,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,qtd,soma,media
93, 04/07/05,1,.,3,.,.,.,.,8,.,.,11,12,.,14,15,16,.,.,.,.,.,22,.,.,25,10,127, 12.70
94, 11/07/05,1,.,3,.,5,6,7,.,.,10,.,.,.,14,.,.,.,.,19,20,.,.,.,.,25,10,110, 11.00
95, 18/07/05,.,.,.,.,.,6,7,8,9,.,.,.,13,.,.,16,.,.,.,.,21,.,23,24,25,10,152, 15.20
96, 25/07/05,1,2,.,.,5,.,7,8,.,.,11,.,13,.,15,.,.,.,.,20,.,.,.,.,25,10,107, 10.70
97, 02/08/05,1,2,.,.,5,.,7,8,9,.,11,.,.,.,.,16,.,18,.,.,21,.,.,.,.,10,98, 9.80
98, 08/08/05,.,.,3,4,.,.,7,.,9,.,.,12,13,14,.,16,.,.,19,.,21,.,.,.,.,10,118, 11.80
99, 15/08/05,.,.,.,.,5,6,.,8,9,.,.,12,.,.,15,.,.,18,19,.,.,22,23,.,.,10,137, 13.70
100, 22/08/05,.,2,.,.,5,6,7,.,.,.,.,.,.,.,15,.,.,18,19,20,21,.,.,24,.,10,137, 13.70
101, 29/08/05,.,2,.,4,5,.,.,8,.,.,11,12,.,.,15,.,.,18,.,.,.,22,.,.,25,10,122, 12.20
102, 05/09/05,.,.,.,.,5,6,.,8,.,.,.,.,13,14,15,16,17,.,.,20,.,.,.,24,.,10,138, 13.80
103, 12/09/05,.,.,.,.,.,6,.,.,9,.,.,12,13,14,15,.,.,.,19,20,21,.,.,24,.,10,153, 15.30
104, 19/09/05,1,2,3,4,.,.,.,8,9,.,.,12,.,.,.,.,17,.,.,20,.,.,23,.,.,10,99, 9.90
105, 26/09/05,1,2,3,.,5,.,.,.,.,.,.,.,.,14,.,16,.,18,.,20,.,.,23,24,.,10,126, 12.60
106, 03/10/05,.,.,.,.,.,.,7,8,9,.,11,.,.,.,.,16,.,18,19,20,21,.,.,24,.,10,153, 15.30
107, 10/10/05,.,2,.,.,5,.,.,.,.,10,.,.,13,14,.,16,.,.,19,20,.,22,23,.,.,10,144, 14.40
108, 17/10/05,.,.,3,.,5,6,.,.,.,10,.,.,13,.,.,.,17,.,19,20,21,.,.,24,.,10,138, 13.80
109, 24/10/05,.,2,.,4,.,6,.,8,.,10,.,.,.,14,15,.,17,.,19,.,.,22,.,.,.,10,117, 11.70
110, 31/10/05,.,2,.,.,.,.,7,8,9,10,11,.,.,.,15,16,.,18,.,.,.,.,.,24,.,10,120, 12.00
111, 07/11/05,.,2,3,4,.,.,7,8,9,.,.,.,.,14,.,16,.,.,.,20,.,.,23,.,.,10,106, 10.60
112, 14/11/05,.,.,.,.,5,.,7,8,9,.,.,12,13,.,.,16,.,.,.,.,.,22,.,24,25,10,141, 14.10
113, 21/11/05,.,.,3,.,.,.,7,.,9,10,.,.,.,.,15,16,17,18,.,.,.,22,23,.,.,10,140, 14.00
114, 28/11/05,.,.,.,4,5,.,.,.,.,.,.,12,13,.,15,16,17,18,19,.,.,.,23,.,.,10,142, 14.20
115, 05/12/05,.,2,3,.,.,.,.,8,.,10,.,.,.,14,15,.,.,.,19,.,.,22,23,24,.,10,140, 14.00
116, 12/12/05,.,.,3,4,5,6,7,8,.,.,.,.,.,.,15,.,17,.,.,.,.,22,.,24,.,10,111, 11.10
117, 19/12/05,1,2,3,4,.,.,.,8,.,.,.,.,.,.,.,16,.,.,19,.,21,22,.,24,.,10,120, 12.00
118, 27/12/05,1,.,3,.,.,.,7,.,9,10,11,.,.,.,.,16,17,.,.,20,.,.,.,.,25,10,119, 11.90
119, 02/01/06,.,2,3,.,5,.,7,.,.,.,.,12,13,14,.,16,.,.,19,.,.,.,.,.,25,10,116, 11.60
120, 09/01/06,.,2,.,4,.,6,.,.,9,10,.,.,.,14,.,.,17,.,.,.,.,22,23,.,25,10,132, 13.20
121, 16/01/06,.,.,3,.,.,6,.,8,.,.,.,.,13,14,15,.,.,.,19,20,21,22,.,.,.,10,141, 14.10
122, 23/01/06,.,.,3,.,.,6,7,.,.,.,11,12,.,14,.,16,.,.,19,.,21,.,.,24,.,10,133, 13.30
123, 30/01/06,1,2,3,.,.,.,.,8,9,10,.,.,.,14,15,16,.,.,.,.,.,.,.,.,25,10,103, 10.30
124, 06/02/06,1,.,.,.,5,.,.,8,.,10,11,12,13,.,.,.,17,.,.,.,.,22,23,.,.,10,122, 12.20
125, 13/02/06,1,.,.,.,5,.,.,8,.,.,.,.,13,14,.,.,17,18,19,20,.,.,23,.,.,10,138, 13.80
126, 20/02/06,.,.,.,.,5,.,.,.,9,10,11,12,.,.,15,.,17,.,19,20,.,.,23,.,.,10,141, 14.10
127, 01/03/06,.,.,.,.,.,6,.,8,9,.,.,.,.,14,15,16,17,.,.,20,21,.,.,24,.,10,150, 15.00
128, 06/03/06,1,.,.,.,5,.,7,8,9,10,.,12,.,.,.,.,.,18,.,.,.,22,.,24,.,10,116, 11.60
129, 13/03/06,1,.,3,4,.,.,.,8,.,10,.,12,.,14,.,16,17,.,.,.,.,.,.,24,.,10,109, 10.90
130, 20/03/06,1,.,.,.,.,.,7,8,.,.,11,.,.,14,.,16,.,18,.,20,21,22,.,.,.,10,138, 13.80
131, 27/03/06,1,.,3,.,.,.,.,.,9,10,.,.,.,14,.,16,17,18,.,.,21,.,.,24,.,10,133, 13.30
132, 03/04/06,.,2,.,.,.,6,.,8,.,.,.,12,13,.,.,.,.,18,19,20,21,.,.,24,.,10,143, 14.30
133, 10/04/06,.,2,.,.,.,6,7,.,.,10,.,12,.,14,.,16,17,.,.,.,.,.,.,24,25,10,133, 13.30
134, 17/04/06,.,2,.,4,.,6,.,.,9,.,.,.,.,.,15,.,.,18,.,20,21,.,23,24,.,10,142, 14.20
135, 24/04/06,.,.,3,4,.,6,.,.,9,.,11,12,.,.,.,16,17,.,.,.,.,.,23,24,.,10,125, 12.50
136, 02/05/06,.,.,.,4,.,.,7,8,.,10,11,.,.,.,.,16,.,18,19,20,.,.,.,.,25,10,138, 13.80
137, 08/05/06,1,.,3,4,5,.,7,.,.,.,.,.,.,14,15,.,.,.,.,.,.,22,23,24,.,10,118, 11.80
138, 15/05/06,1,.,.,.,.,6,.,.,9,10,.,12,.,14,.,.,.,18,19,20,.,.,23,.,.,10,132, 13.20
139, 22/05/06,.,.,3,4,5,6,.,8,.,10,11,.,13,.,.,.,.,.,.,20,.,.,.,.,25,10,105, 10.50
140, 29/05/06,.,.,.,4,5,.,7,8,.,.,11,.,.,14,.,16,17,.,.,.,21,.,23,.,.,10,126, 12.60
141, 05/06/06,.,2,.,4,5,6,.,.,.,.,11,.,.,14,15,.,.,.,.,.,21,22,23,.,.,10,123, 12.30
142, 12/06/06,.,.,3,.,.,.,.,8,.,10,11,12,13,14,.,.,.,.,.,20,21,.,.,.,25,10,137, 13.70
143, 19/06/06,.,.,3,4,5,6,7,.,.,10,.,12,.,14,.,.,.,18,.,20,.,.,.,.,.,10,99, 9.90
144, 26/06/06,.,.,3,.,5,6,.,8,.,10,.,.,13,.,15,16,.,18,.,.,.,.,23,.,.,10,117, 11.70
145, 03/07/06,.,.,.,4,5,6,7,8,.,.,.,12,.,.,.,16,.,.,19,.,21,.,23,.,.,10,121, 12.10
146, 10/07/06,.,.,3,4,.,6,7,.,9,.,.,.,.,.,15,.,.,18,19,20,21,.,.,.,.,10,122, 12.20
147, 17/07/06,.,.,3,.,.,.,7,8,9,.,.,.,.,14,15,.,17,18,.,20,.,.,.,24,.,10,135, 13.50
148, 24/07/06,.,.,3,.,.,6,7,.,.,10,11,.,.,14,15,.,.,18,19,.,.,.,23,.,.,10,126, 12.60
149, 01/08/06,1,.,3,4,.,6,.,8,.,.,11,12,.,14,.,.,.,.,.,.,21,22,.,.,.,10,102, 10.20
150, 07/08/06,.,2,.,4,.,.,.,.,.,10,.,12,13,.,15,16,17,18,.,20,.,.,.,.,.,10,127, 12.70
151, 14/08/06,1,2,.,.,.,6,.,8,.,.,.,.,.,.,15,.,17,.,19,.,21,22,.,.,25,10,136, 13.60
152, 21/08/06,1,2,.,.,.,.,.,.,9,10,11,12,.,14,.,16,.,18,.,.,21,.,.,.,.,10,114, 11.40
153, 28/08/06,.,.,3,.,.,6,7,.,9,10,.,.,.,14,15,16,.,.,19,.,.,22,.,.,.,10,121, 12.10
154, 04/09/06,.,.,.,4,.,.,7,8,.,.,.,12,.,.,.,.,17,.,19,20,21,22,.,.,25,10,155, 15.50
155, 11/09/06,1,.,3,.,.,6,7,.,9,.,.,12,13,.,.,.,17,.,.,.,.,.,23,.,25,10,116, 11.60
156, 18/09/06,.,2,.,.,5,6,7,.,.,.,.,.,.,.,.,16,17,18,.,.,21,.,.,24,25,10,141, 14.10
157, 25/09/06,.,.,3,.,5,.,.,8,.,.,11,.,13,.,15,.,17,.,.,20,.,22,23,.,.,10,137, 13.70
158, 02/10/06,1,.,3,4,5,6,.,.,.,.,.,.,13,14,.,.,.,.,.,.,21,.,.,24,25,10,116, 11.60
159, 09/10/06,.,.,.,.,.,.,7,.,9,.,.,12,13,.,.,16,.,18,19,.,21,22,23,.,.,10,160, 16.00
160, 16/10/06,.,2,.,.,5,6,7,8,.,.,.,.,13,.,.,.,.,18,.,.,.,22,23,.,25,10,129, 12.90
161, 19/10/06,.,2,3,4,.,6,7,.,9,10,.,12,.,14,.,.,.,.,19,.,.,.,.,.,.,10,86, 8.60
162, 23/10/06,.,.,.,.,.,.,7,.,9,10,.,.,.,14,15,.,17,.,19,.,21,22,.,.,25,10,159, 15.90
163, 26/10/06,.,.,.,4,.,.,.,8,.,10,11,12,.,.,.,16,17,18,19,.,.,22,.,.,.,10,137, 13.70
164, 30/10/06,.,.,.,4,.,.,7,.,9,.,.,12,13,.,.,16,17,.,19,20,.,.,.,.,25,10,142, 14.20
165, 03/11/06,.,.,3,.,5,.,7,.,.,10,11,.,.,.,.,16,.,.,.,20,21,.,23,24,.,10,140, 14.00
166, 06/11/06,1,.,.,.,5,6,7,.,.,.,11,12,.,.,.,16,17,.,.,.,.,.,.,24,25,10,124, 12.40
167, 09/11/06,.,.,.,4,5,.,7,.,.,.,11,12,.,.,15,.,17,.,.,20,21,.,.,.,25,10,137, 13.70
168, 13/11/06,.,.,.,.,5,6,.,8,9,.,11,.,13,14,.,.,.,18,.,.,21,.,.,.,25,10,130, 13.00
169, 16/11/06,.,2,3,.,.,.,.,.,.,.,.,.,13,14,.,.,17,18,19,.,.,22,23,.,25,10,156, 15.60
170, 21/11/06,.,2,.,.,.,.,.,.,9,.,11,12,.,14,15,.,17,.,19,.,21,.,.,24,.,10,144, 14.40
171, 23/11/06,.,2,.,.,5,6,7,8,9,.,.,.,.,14,.,.,.,18,19,20,.,.,.,.,.,10,108, 10.80
172, 27/11/06,.,.,3,.,5,.,.,8,.,.,.,.,.,14,15,16,17,.,19,.,.,.,23,24,.,10,144, 14.40
173, 30/11/06,1,.,.,.,.,6,.,.,9,10,.,12,13,14,.,16,17,18,.,.,.,.,.,.,.,10,116, 11.60
174, 04/12/06,.,.,3,.,5,6,.,8,.,.,.,.,.,14,.,16,.,18,19,.,21,22,.,.,.,10,132, 13.20
175, 07/12/06,1,.,.,4,.,.,.,8,9,10,.,.,.,.,.,.,17,.,.,20,.,22,23,.,25,10,139, 13.90
176, 11/12/06,1,.,3,.,5,6,7,8,9,.,.,.,.,14,.,.,.,.,19,20,.,.,.,.,.,10,92, 9.20
177, 14/12/06,1,.,3,4,5,.,.,.,9,.,.,12,.,14,.,.,.,18,.,.,.,22,.,.,25,10,113, 11.30
178, 18/12/06,1,.,.,.,5,.,7,.,.,.,11,12,13,.,15,.,17,18,.,.,.,22,.,.,.,10,121, 12.10
179, 21/12/06,1,.,.,.,.,6,.,8,.,10,11,12,.,.,.,16,.,18,.,20,21,.,.,.,.,10,123, 12.30
180, 26/12/06,.,.,.,.,.,.,.,.,9,.,.,12,13,14,.,16,.,18,19,.,21,22,23,.,.,10,167, 16.70
181, 28/12/06,.,2,3,.,.,.,.,.,9,10,11,12,13,.,.,.,.,18,.,.,.,.,.,24,25,10,127, 12.70
182, 02/01/07,1,.,.,.,5,6,.,.,.,10,.,12,.,.,15,16,.,18,.,20,.,.,.,24,.,10,127, 12.70
183, 04/01/07,1,.,3,.,5,.,.,.,9,10,.,12,.,.,15,.,17,18,.,.,.,22,.,.,.,10,112, 11.20
184, 08/01/07,.,2,.,4,5,6,.,.,.,.,.,12,13,14,.,.,.,.,.,20,.,22,.,24,.,10,122, 12.20
185, 11/01/07,.,.,3,.,5,.,.,.,.,10,.,.,13,14,.,16,.,18,.,.,21,22,.,24,.,10,146, 14.60
186, 15/01/07,1,.,3,.,.,.,7,8,9,10,.,.,.,14,15,.,.,.,.,20,21,.,.,.,.,10,108, 10.80
187, 18/01/07,.,2,.,4,5,6,7,8,9,10,.,.,.,14,.,.,.,.,.,20,.,.,.,.,.,10,85, 8.50
188, 22/01/07,1,.,.,4,.,6,7,.,9,.,.,12,.,14,15,.,17,18,.,.,.,.,.,.,.,10,103, 10.30
189, 25/01/07,.,.,3,.,.,.,.,8,.,10,11,12,.,14,15,.,17,.,.,.,21,.,.,.,25,10,136, 13.60
190, 29/01/07,.,2,.,.,.,6,.,.,9,10,.,12,.,.,.,.,17,.,.,20,21,22,.,.,25,10,144, 14.40
191, 01/02/07,1,.,3,4,.,6,7,.,.,.,11,.,.,14,.,16,.,.,.,.,.,.,.,24,25,10,111, 11.10
