num,data,1,3,5,7,9,11,13,15,17,19,21,23,25,qtd,soma,media
140, 29/05/06,.,.,5,7,.,11,.,.,17,.,21,23,.,6,84, 14.00
141, 05/06/06,.,.,5,.,.,11,.,15,.,.,21,23,.,5,75, 15.00
142, 12/06/06,.,3,.,.,.,11,13,.,.,.,21,.,25,5,73, 14.60
143, 19/06/06,.,3,5,7,.,.,.,.,.,.,.,.,.,3,15, 5.00
144, 26/06/06,.,3,5,.,.,.,13,15,.,.,.,23,.,5,59, 11.80
145, 03/07/06,.,.,5,7,.,.,.,.,.,19,21,23,.,5,75, 15.00
146, 10/07/06,.,3,.,7,9,.,.,15,.,19,21,.,.,6,74, 12.33
147, 17/07/06,.,3,.,7,9,.,.,15,17,.,.,.,.,5,51, 10.20
148, 24/07/06,.,3,.,7,.,11,.,15,.,19,.,23,.,6,78, 13.00
149, 01/08/06,1,3,.,.,.,11,.,.,.,.,21,.,.,4,36, 9.00
150, 07/08/06,.,.,.,.,.,.,13,15,17,.,.,.,.,3,45, 15.00
151, 14/08/06,1,.,.,.,.,.,.,15,17,19,21,.,25,6,98, 16.33
152, 21/08/06,1,.,.,.,9,11,.,.,.,.,21,.,.,4,42, 10.50
153, 28/08/06,.,3,.,7,9,.,.,15,.,19,.,.,.,5,53, 10.60
154, 04/09/06,.,.,.,7,.,.,.,.,17,19,21,.,25,5,89, 17.80
155, 11/09/06,1,3,.,7,9,.,13,.,17,.,.,23,25,8,98, 12.25
156, 18/09/06,.,.,5,7,.,.,.,.,17,.,21,.,25,5,75, 15.00
157, 25/09/06,.,3,5,.,.,11,13,15,17,.,.,23,.,7,87, 12.43
158, 02/10/06,1,3,5,.,.,.,13,.,.,.,21,.,25,6,68, 11.33
159, 09/10/06,.,.,.,7,9,.,13,.,.,19,21,23,.,6,92, 15.33
160, 16/10/06,.,.,5,7,.,.,13,.,.,.,.,23,25,5,73, 14.60
161, 19/10/06,.,3,.,7,9,.,.,.,.,19,.,.,.,4,38, 9.50
162, 23/10/06,.,.,.,7,9,.,.,15,17,19,21,.,25,7,113, 16.14
163, 26/10/06,.,.,.,.,.,11,.,.,17,19,.,.,.,3,47, 15.67
164, 30/10/06,.,.,.,7,9,.,13,.,17,19,.,.,25,6,90, 15.00
165, 03/11/06,.,3,5,7,.,11,.,.,.,.,21,23,.,6,70, 11.67
166, 06/11/06,1,.,5,7,.,11,.,.,17,.,.,.,25,6,66, 11.00
167, 09/11/06,.,.,5,7,.,11,.,15,17,.,21,.,25,7,101, 14.43
168, 13/11/06,.,.,5,.,9,11,13,.,.,.,21,.,25,6,84, 14.00
169, 16/11/06,.,3,.,.,.,.,13,.,17,19,.,23,25,6,100, 16.67
170, 21/11/06,.,.,.,.,9,11,.,15,17,19,21,.,.,6,92, 15.33
171, 23/11/06,.,.,5,7,9,.,.,.,.,19,.,.,.,4,40, 10.00
172, 27/11/06,.,3,5,.,.,.,.,15,17,19,.,23,.,6,82, 13.67
173, 30/11/06,1,.,.,.,9,.,13,.,17,.,.,.,.,4,40, 10.00
174, 04/12/06,.,3,5,.,.,.,.,.,.,19,21,.,.,4,48, 12.00
175, 07/12/06,1,.,.,.,9,.,.,.,17,.,.,23,25,5,75, 15.00
176, 11/12/06,1,3,5,7,9,.,.,.,.,19,.,.,.,6,44, 7.33
177, 14/12/06,1,3,5,.,9,.,.,.,.,.,.,.,25,5,43, 8.60
178, 18/12/06,1,.,5,7,.,11,13,15,17,.,.,.,.,7,69, 9.86
179, 21/12/06,1,.,.,.,.,11,.,.,.,.,21,.,.,3,33, 11.00
180, 26/12/06,.,.,.,.,9,.,13,.,.,19,21,23,.,5,85, 17.00
181, 28/12/06,.,3,.,.,9,11,13,.,.,.,.,.,25,5,61, 12.20
182, 02/01/07,1,.,5,.,.,.,.,15,.,.,.,.,.,3,21, 7.00
183, 04/01/07,1,3,5,.,9,.,.,15,17,.,.,.,.,6,50, 8.33
184, 08/01/07,.,.,5,.,.,.,13,.,.,.,.,.,.,2,18, 9.00
185, 11/01/07,.,3,5,.,.,.,13,.,.,.,21,.,.,4,42, 10.50
186, 15/01/07,1,3,.,7,9,.,.,15,.,.,21,.,.,6,56, 9.33
187, 18/01/07,.,.,5,7,9,.,.,.,.,.,.,.,.,3,21, 7.00
188, 22/01/07,1,.,.,7,9,.,.,15,17,.,.,.,.,5,49, 9.80
189, 25/01/07,.,3,.,.,.,11,.,15,17,.,21,.,25,6,92, 15.33
190, 29/01/07,.,.,.,.,9,.,.,.,17,.,21,.,25,4,72, 18.00
191, 01/02/07,1,3,.,7,.,11,.,.,.,.,.,.,25,5,47, 9.40
